"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in Fisher.classic"	"Fisher.elim"	"Fisher.classic"	"FDR"	"ontology"
"GO:0071944"	"cell periphery"	1136	6	5.35	43	"0.3195"	"0.44666"	1	"CC"
"GO:0030054"	"cell junction"	149	1	0.7	44	"0.2236"	"0.50636"	1	"CC"
"GO:0098797"	"plasma membrane protein complex"	152	1	0.72	45	"0.2275"	"0.51336"	1	"CC"
"GO:0016021"	"integral component of membrane"	1004	5	4.72	46	"0.6216"	"0.51437"	1	"CC"
"GO:0031224"	"intrinsic component of membrane"	1024	5	4.82	47	"0.6331"	"0.53219"	1	"CC"
"GO:0036477"	"somatodendritic compartment"	161	1	0.76	48	"0.2393"	"0.53378"	1	"CC"
"GO:0005730"	"nucleolus"	192	1	0.9	49	"0.2785"	"0.59783"	1	"CC"
"GO:0098590"	"plasma membrane region"	238	1	1.12	50	"0.3332"	"0.67719"	1	"CC"
"GO:0044425"	"membrane part"	1550	6	7.29	51	"0.5340"	"0.74900"	1	"CC"
"GO:0005856"	"cytoskeleton"	412	1	1.94	52	"0.5061"	"0.86024"	1	"CC"
"GO:0005829"	"cytosol"	734	2	3.45	53	"0.3537"	"0.86577"	1	"CC"
"GO:0098796"	"membrane protein complex"	451	1	2.12	54	"0.5384"	"0.88430"	1	"CC"
"GO:0016020"	"membrane"	2117	7	9.96	55	"0.4900"	"0.88483"	1	"CC"
"GO:0005654"	"nucleoplasm"	486	1	2.29	56	"0.5657"	"0.90237"	1	"CC"
"GO:0005739"	"mitochondrion"	694	1	3.27	57	"0.6984"	"0.96470"	1	"CC"
"GO:0005575"	"cellular_component"	7699	28	36.23	58	"5.0e-05"	"0.97729"	1	"CC"
"GO:0031981"	"nuclear lumen"	809	1	3.81	59	"0.7539"	"0.98000"	1	"CC"
"GO:0043228"	"non-membrane-bounded organelle"	1315	2	6.19	60	"0.6630"	"0.98790"	1	"CC"
"GO:0043232"	"intracellular non-membrane-bounded organ..."	1315	2	6.19	61	"0.6630"	"0.98790"	1	"CC"
"GO:0012505"	"endomembrane system"	991	1	4.66	62	"0.8223"	"0.99193"	1	"CC"
"GO:0070013"	"intracellular organelle lumen"	999	1	4.7	63	"0.8248"	"0.99225"	1	"CC"
"GO:0043233"	"organelle lumen"	999	1	4.7	64	"0.8248"	"0.99225"	1	"CC"
"GO:0031974"	"membrane-enclosed lumen"	999	1	4.7	65	"0.8248"	"0.99225"	1	"CC"
"GO:0044428"	"nuclear part"	1163	1	5.47	66	"0.8698"	"0.99661"	1	"CC"
"GO:0044444"	"cytoplasmic part"	2731	5	12.85	67	"0.4996"	"0.99775"	1	"CC"
"GO:0005737"	"cytoplasm"	3551	7	16.71	68	"0.3926"	"0.99902"	1	"CC"
"GO:0005634"	"nucleus"	2277	3	10.71	69	"0.7601"	"0.99913"	1	"CC"
"GO:0005623"	"cell"	6064	16	28.53	70	"0.2066"	"0.99932"	1	"CC"
"GO:0044464"	"cell part"	6064	16	28.53	71	"0.2066"	"0.99932"	1	"CC"
"GO:0032991"	"protein-containing complex"	2422	2	11.4	72	"0.9307"	"0.99994"	1	"CC"
"GO:0043231"	"intracellular membrane-bounded organelle"	3702	5	17.42	73	"0.7822"	"0.99997"	1	"CC"
"GO:0044424"	"intracellular part"	5310	10	24.99	74	"0.4060"	"0.99998"	1	"CC"
"GO:0005622"	"intracellular"	5326	10	25.06	75	"0.4104"	"0.99998"	1	"CC"
"GO:0043227"	"membrane-bounded organelle"	3919	5	18.44	76	"0.8264"	"0.99999"	1	"CC"
"GO:0043229"	"intracellular organelle"	4374	6	20.58	77	"0.7875"	"0.99999"	1	"CC"
"GO:0043226"	"organelle"	4437	6	20.88	78	"0.8002"	"1.00000"	1	"CC"
"GO:0044446"	"intracellular organelle part"	2547	1	11.99	79	"0.9907"	"1.00000"	1	"CC"
"GO:0044422"	"organelle part"	2604	1	12.25	80	"0.9917"	"1.00000"	1	"CC"
"GO:0000109"	"nucleotide-excision repair complex"	5	0	0.02	81	"1.0000"	"1.00000"	1	"CC"
"GO:0000118"	"histone deacetylase complex"	23	0	0.11	82	"1.0000"	"1.00000"	1	"CC"
"GO:0000123"	"histone acetyltransferase complex"	75	0	0.35	83	"1.0000"	"1.00000"	1	"CC"
"GO:0000124"	"SAGA complex"	24	0	0.11	84	"1.0000"	"1.00000"	1	"CC"
"GO:0000126"	"transcription factor TFIIIB complex"	5	0	0.02	85	"1.0000"	"1.00000"	1	"CC"
"GO:0000127"	"transcription factor TFIIIC complex"	5	0	0.02	86	"1.0000"	"1.00000"	1	"CC"
"GO:0000137"	"Golgi cis cisterna"	9	0	0.04	87	"1.0000"	"1.00000"	1	"CC"
"GO:0000138"	"Golgi trans cisterna"	10	0	0.05	88	"1.0000"	"1.00000"	1	"CC"
"GO:0000139"	"Golgi membrane"	83	0	0.39	89	"1.0000"	"1.00000"	1	"CC"
"GO:0000145"	"exocyst"	9	0	0.04	90	"1.0000"	"1.00000"	1	"CC"
"GO:0000151"	"ubiquitin ligase complex"	134	0	0.63	91	"1.0000"	"1.00000"	1	"CC"
"GO:0000152"	"nuclear ubiquitin ligase complex"	25	0	0.12	92	"1.0000"	"1.00000"	1	"CC"
"GO:0000153"	"cytoplasmic ubiquitin ligase complex"	7	0	0.03	93	"1.0000"	"1.00000"	1	"CC"
"GO:0000159"	"protein phosphatase type 2A complex"	9	0	0.04	94	"1.0000"	"1.00000"	1	"CC"
"GO:0000164"	"protein phosphatase type 1 complex"	5	0	0.02	95	"1.0000"	"1.00000"	1	"CC"
"GO:0000172"	"ribonuclease MRP complex"	5	0	0.02	96	"1.0000"	"1.00000"	1	"CC"
"GO:0000176"	"nuclear exosome (RNase complex)"	11	0	0.05	97	"1.0000"	"1.00000"	1	"CC"
"GO:0000177"	"cytoplasmic exosome (RNase complex)"	9	0	0.04	98	"1.0000"	"1.00000"	1	"CC"
"GO:0000178"	"exosome (RNase complex)"	14	0	0.07	99	"1.0000"	"1.00000"	1	"CC"
"GO:0000220"	"vacuolar proton-transporting V-type ATPa..."	9	0	0.04	100	"1.0000"	"1.00000"	1	"CC"
